CommonName,NDF-RT,ICD11Code,Drugs
Supraventricular tachycardia,"['N0000146388', 'N0000148054', 'N0000147996', 'N0000148010']",11,"['DIGOXIN', 'VERAPAMIL', 'PROPAFENONE', 'QUINIDINE']"
Swelling of structure of eye,['N0000147399'],15,['FLURBIPROFEN']
Symptomatic carotid artery stenosis,['N0000022101'],22,['CLOPIDOGREL']
Symptomatic sinus bradycardia,['N0000147687'],21,['ATROPINE']
Symptoms interfere with sleep,['N0000147828'],21,['DOXEPIN']
Synovitis,['N0000148580'],9,['INFLIXIMAB']
Syphilis,"['N0000007444', 'N0000146109']",1,"['MINOCYCLINE', 'DOXYCYCLINE']"
Systemic lupus erythematosus,"['N0000145918', 'N0000145980', 'N0000146229', 'N0000147916', 'N0000147069']",4,"['ASPIRIN', 'TRIAMCINOLONE', 'PREDNISONE', 'METHOTREXATE', 'AZATHIOPRINE']"
Systemic mast cell disease,"['N0000148588', 'N0000148698']",4,"['THALIDOMIDE', 'IMATINIB']"
Systemic sclerosis,"['N0000146229', 'N0000147916']",4,"['PREDNISONE', 'METHOTREXATE']"
Systolic hypertension,['N0000148333'],11,['AMLODIPINE']
Tachyarrhythmia,['N0000147701'],11,['AMIODARONE']
Takayasu's disease,"['N0000146229', 'N0000147069', 'N0000147916', 'N0000148580']",1,"['PREDNISONE', 'AZATHIOPRINE', 'METHOTREXATE', 'INFLIXIMAB']"
Tardive dyskinesia,['N0000177920'],12,['TETRABENAZINE']
Temporal arteritis,"['N0000145980', 'N0000146229']",4,"['TRIAMCINOLONE', 'PREDNISONE']"
Temporomandibular joint disorder,"['N0000147149', 'N0000147702', 'N0000147791', 'N0000147946', 'N0000148596']",6,"['NAPROXEN', 'AMITRIPTYLINE', 'CYCLOBENZAPRINE', 'NORTRIPTYLINE', 'CELECOXIB']"
Tendinitis,['N0000147149'],13,['NAPROXEN']
Tenosynovitis,"['N0000145980', 'N0000146229']",10,"['TRIAMCINOLONE', 'PREDNISONE']"
Tension-type headache,['N0000021906'],8,['VENLAFAXINE']
Terminal insomnia,['N0000147828'],7,['DOXEPIN']
Termination of pregnancy,['N0000147916'],X,['METHOTREXATE']
Tetanus,['N0000006613'],1,['BACLOFEN']
Tetralogy of Fallot,['N0000148001'],16,['PROPRANOLOL']
Thrombocytopenia due to diminished platelet production,['N0000177933'],3,['ELTROMBOPAG']
Thrombocytopenia due to non-immune destruction,['N0000177933'],3,['ELTROMBOPAG']
Thrombocytopenic purpura,['N0000147467'],3,['DAPSONE']
Thromboembolic disorder,['N0000145918'],5,['ASPIRIN']
Thromboembolism of vein,"['N0000145918', 'N0000148057']",11,"['ASPIRIN', 'WARFARIN']"
Thrombophilia associated with pregnancy,['N0000148343'],3,['ENOXAPARIN']
Thrombophlebitis,"['N0000145898', 'N0000147149', 'N0000147806']",11,"['ACETAMINOPHEN', 'NAPROXEN', 'DICLOFENAC']"
Thrombosis,"['N0000145918', 'N0000148343']",8,"['ASPIRIN', 'ENOXAPARIN']"
Thrombotic thrombocytopenic purpura,['N0000148560'],3,['RITUXIMAB']
Thymoma,"['N0000022036', 'N0000146229', 'N0000146476', 'N0000146478', 'N0000147598', 'N0000147829', 'N0000148056', 'N0000148831']",1,"['GEMCITABINE', 'PREDNISONE', 'CISPLATIN', 'ETOPOSIDE', 'CARBOPLATIN', 'DOXORUBICIN', 'VINCRISTINE', 'PEMETREXED']"
Thyroid eye disease,['N0000146229'],1,['PREDNISONE']
Thyrotoxic crisis,"['N0000146291', 'N0000148001']",11,"['HYDROCORTISONE', 'PROPRANOLOL']"
Thyrotoxicosis,"['N0000146229', 'N0000147924']",3,"['PREDNISONE', 'METOPROLOL']"
Tic disorder,"['N0000146152', 'N0000146207']",8,"['CLONAZEPAM', 'CLONIDINE']"
Tinea capitis,['N0000021605'],1,['TERBINAFINE']
Toothache,['N0000021990'],X,['TRAMADOL']
Toxic effect of cyanide,['N0000145900'],X,['SODIUM NITRITE']
Toxoplasma encephalitis,"['N0000146102', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Toxoplasmosis,['N0000147467'],1,['DAPSONE']
Trabeculectomy ab externo,['N0000146229'],1,['PREDNISONE']
Transfusion reaction due to serum protein reaction,['N0000145980'],19,['TRIAMCINOLONE']
Transient cerebral ischemia,"['N0000022046', 'N0000145918', 'N0000148057', 'N0000148255']",19,"['ATORVASTATIN', 'ASPIRIN', 'WARFARIN', 'PRAVASTATIN']"
Transient erythroblastopenia of childhood,['N0000146229'],2,['PREDNISONE']
Transitional cell carcinoma of urinary bladder,"['N0000022036', 'N0000146476', 'N0000147829']",2,"['GEMCITABINE', 'CISPLATIN', 'DOXORUBICIN']"
Transplantation of bone marrow,"['N0000146261', 'N0000146452', 'N0000146473', 'N0000146478', 'N0000147066']",22,"['THIOTEPA', 'CYCLOPHOSPHAMIDE', 'CARMUSTINE', 'ETOPOSIDE', 'MELPHALAN']"
Transplanted organ rejection,"['N0000146229', 'N0000146334', 'N0000147069', 'N0000148586', 'N0000148832']",22,"['PREDNISONE', 'PREDNISOLONE', 'AZATHIOPRINE', 'LEFLUNOMIDE', 'MYCOPHENOLIC ACID']"
Transurethral resection of prostate (TURP) syndrome,['N0000147503'],4,['CIPROFLOXACIN']
Traumatic brain injury,['N0000146211'],22,['PHENYTOIN']
Traveler's diarrhea,"['N0000146102', 'N0000147893', 'N0000148858', 'N0000146103']",13,"['SULFAMETHOXAZOLE', 'LOPERAMIDE', 'RIFAXIMIN', 'TRIMETHOPRIM']"
Tremor,['N0000147924'],8,['METOPROLOL']
Trichotillomania,"['N0000022289', 'N0000147875']",1,"['ESCITALOPRAM', 'IMIPRAMINE']"
Trigeminal neuralgia,"['N0000006613', 'N0000146226', 'N0000148345', 'N0000148390']",8,"['BACLOFEN', 'CARBAMAZEPINE', 'GABAPENTIN', 'LAMOTRIGINE']"
Tuberculosis,"['N0000146266', 'N0000147503']",1,"['PYRAZINAMIDE', 'CIPROFLOXACIN']"
Tuberculosis of central nervous system,"['N0000146229', 'N0000146334']",1,"['PREDNISONE', 'PREDNISOLONE']"
Tuberculosis of meninges,"['N0000145980', 'N0000146273', 'N0000146291', 'N0000146409']",1,"['TRIAMCINOLONE', 'DEXAMETHASONE', 'HYDROCORTISONE', 'METHYLPREDNISOLONE']"
"Tuberculosis, extrapulmonary","['N0000146932', 'N0000147838']",1,"['RIFAMPIN', 'ETHAMBUTOL']"
Tularemia,"['N0000146109', 'N0000147503']",1,"['DOXYCYCLINE', 'CIPROFLOXACIN']"
Turner syndrome,['N0000146729'],20,"['ESTROGENS,CONJUGATED']"
Type 1 diabetes mellitus,"['N0000148467', 'N0000148667', 'N0000148812', 'N0000171818']",5,"['INSULIN,LISPRO,HUMAN/RDNA', 'INSULIN,GLARGINE,HUMAN/RDNA', 'INSULIN,ASPART PROTAMINE', 'INSULIN,DETEMIR,HUMAN']"
Type 2 diabetes mellitus,"['N0000006730', 'N0000021984', 'N0000022046', 'N0000148467', 'N0000148667', 'N0000148812', 'N0000171818', 'N0000176069', 'N0000146198']",5,"['GLIMEPIRIDE', 'METFORMIN', 'ATORVASTATIN', 'INSULIN,LISPRO,HUMAN/RDNA', 'INSULIN,GLARGINE,HUMAN/RDNA', 'INSULIN,ASPART PROTAMINE', 'INSULIN,DETEMIR,HUMAN', 'SITAGLIPTIN', 'CHLORPROPAMIDE']"
Type 2 diabetes mellitus in nonobese,['N0000146198'],5,['CHLORPROPAMIDE']
Type 2 diabetes mellitus in obese,['N0000146198'],5,['CHLORPROPAMIDE']
Type 2 diabetes mellitus with peripheral angiopathy,['N0000146198'],5,['CHLORPROPAMIDE']
Type 2 diabetes mellitus with ulcer,['N0000146198'],5,['CHLORPROPAMIDE']
Type 2 diabetes mellitus without complication,['N0000146198'],5,['CHLORPROPAMIDE']
Type B viral hepatitis,['N0000148418'],1,['LAMIVUDINE']
Typhoid fever,"['N0000146102', 'N0000147503']",1,"['SULFAMETHOXAZOLE', 'CIPROFLOXACIN']"
Typhus group rickettsial disease,['N0000146109'],1,['DOXYCYCLINE']
Ulcer of duodenum,"['N0000146320', 'N0000148407', 'N0000148700']",13,"['FAMOTIDINE', 'LANSOPRAZOLE', 'ESOMEPRAZOLE']"
Ulcerative colitis,"['N0000005766', 'N0000146229', 'N0000146249', 'N0000146291', 'N0000146409', 'N0000148384', 'N0000148580', 'N0000148789', 'N0000146273', 'N0000146334', 'N0000147064', 'N0000147069', 'N0000147079', 'N0000147916']",13,"['MESALAMINE', 'PREDNISONE', 'SULFASALAZINE', 'HYDROCORTISONE', 'METHYLPREDNISOLONE', 'BUDESONIDE', 'INFLIXIMAB', 'ADALIMUMAB', 'DEXAMETHASONE', 'PREDNISOLONE', 'CYCLOSPORINE', 'AZATHIOPRINE', 'MERCAPTOPURINE', 'METHOTREXATE']"
Ulnar neuropathy,"['N0000023107', 'N0000147800', 'N0000147946', 'N0000148345']",8,"['PREGABALIN', 'DESIPRAMINE', 'NORTRIPTYLINE', 'GABAPENTIN']"
Upper gastrointestinal bleeding,['N0000148012'],X,['RANITIDINE']
Ureteric stone,"['N0000022081', 'N0000146717']",6,"['TAMSULOSIN', 'NIFEDIPINE']"
Urethritis,"['N0000022081', 'N0000148025']",9,"['TAMSULOSIN', 'TERAZOSIN']"
Urinary incontinence,"['N0000147875', 'N0000148860']",6,"['IMIPRAMINE', 'DULOXETINE']"
Urinary tract infectious disease,"['N0000007444', 'N0000146102', 'N0000146103', 'N0000146109', 'N0000147185', 'N0000147503', 'N0000146578', 'N0000147151']",13,"['MINOCYCLINE', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM', 'DOXYCYCLINE', 'CEPHALEXIN', 'CIPROFLOXACIN', 'NALIDIXIC ACID', 'NITROFURANTOIN']"
Urolithiasis,['N0000146247'],16,['ALLOPURINOL']
Urticaria,"['N0000022122', 'N0000022010', 'N0000022057', 'N0000146229', 'N0000146249', 'N0000146320', 'N0000146334', 'N0000147816', 'N0000147871', 'N0000148012', 'N0000148306', 'N0000148729', 'N0000147828']",14,"['MONTELUKAST', 'CETIRIZINE', 'FEXOFENADINE', 'PREDNISONE', 'SULFASALAZINE', 'FAMOTIDINE', 'PREDNISOLONE', 'DIPHENHYDRAMINE', 'HYDROXYCHLOROQUINE', 'RANITIDINE', 'LORATADINE', 'DESLORATADINE', 'DOXEPIN']"
Uses contraception,"['N0000146366', 'N0000146370', 'N0000146818', 'N0000147899', 'N0000148272', 'N0000179010']",24,"['ETHINYL ESTRADIOL', 'LEVONORGESTREL', 'NORETHINDRONE', 'MEDROXYPROGESTERONE', 'NORGESTIMATE', 'DROSPIRENONE']"
Uses postcoital contraception,"['N0000146366', 'N0000146370', 'N0000146729']",13,"['ETHINYL ESTRADIOL', 'LEVONORGESTREL', 'ESTROGENS,CONJUGATED']"
Uterine leiomyoma,['N0000147889'],18,['LEUPROLIDE']
Uveitis,"['N0000145980', 'N0000146229', 'N0000147687', 'N0000148580', 'N0000146249', 'N0000146273', 'N0000146334', 'N0000146409', 'N0000147069', 'N0000147916', 'N0000148789']",9,"['TRIAMCINOLONE', 'PREDNISONE', 'ATROPINE', 'INFLIXIMAB', 'SULFASALAZINE', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'AZATHIOPRINE', 'METHOTREXATE', 'ADALIMUMAB']"
Vascular graft thrombosis,['N0000145918'],11,['ASPIRIN']
Vasculitis,"['N0000146229', 'N0000147069']",4,"['PREDNISONE', 'AZATHIOPRINE']"
Vasomotor rhinitis,['N0000022047'],12,['AZELASTINE']
Vasopressin deficiency,['N0000146198'],5,['CHLORPROPAMIDE']
Venous thrombosis,"['N0000148057', 'N0000148343']",8,"['WARFARIN', 'ENOXAPARIN']"
Ventilator associated pneumonia,"['N0000146102', 'N0000146103']",12,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Ventricular arrhythmia,"['N0000147701', 'N0000147924', 'N0000147996', 'N0000148010']",11,"['AMIODARONE', 'METOPROLOL', 'PROPAFENONE', 'QUINIDINE']"
Ventricular fibrillation,['N0000147701'],11,['AMIODARONE']
Ventricular hypertrophy,"['N0000023029', 'N0000145994', 'N0000146155', 'N0000146188', 'N0000146234', 'N0000146717', 'N0000146784', 'N0000147537', 'N0000147662', 'N0000147814', 'N0000147835', 'N0000147869', 'N0000148054', 'N0000148333', 'N0000148336', 'N0000148401', 'N0000148456', 'N0000148533', 'N0000148599', 'N0000148603', 'N0000148627']",11,"['OLMESARTAN', 'CAPTOPRIL', 'BUMETANIDE', 'FUROSEMIDE', 'SPIRONOLACTONE', 'NIFEDIPINE', 'ATENOLOL', 'LISINOPRIL', 'RAMIPRIL', 'DILTIAZEM', 'ENALAPRIL', 'HYDRALAZINE', 'VERAPAMIL', 'AMLODIPINE', 'BENAZEPRIL', 'LOSARTAN', 'VALSARTAN', 'IRBESARTAN', 'TELMISARTAN', 'CANDESARTAN', 'PERINDOPRIL']"
Ventricular premature complex,['N0000148010'],11,['QUINIDINE']
Ventricular tachycardia,"['N0000147701', 'N0000148001', 'N0000148010']",11,"['AMIODARONE', 'PROPRANOLOL', 'QUINIDINE']"
Viral hemorrhagic fever,['N0000147496'],1,['RIBAVIRIN']
Viral hepatitis C,"['N0000147496', 'N0000178330', 'N0000182738', 'N0000148697']",1,"['RIBAVIRIN', 'PEGINTERFERON ALFA-2A', 'BOCEPREVIR', 'PEGINTERFERON ALFA-2B']"
Viral labyrinthitis,['N0000146409'],1,['METHYLPREDNISOLONE']
Viral respiratory infection,['N0000146334'],21,['PREDNISOLONE']
Vitiligo,['N0000148122'],1,['FLUTICASONE PROPIONATE']
Vivax malaria,"['N0000147988', 'N0000146933']",1,"['PRIMAQUINE', 'QUININE SULFATE']"
Vomiting of pregnancy,"['N0000147898', 'N0000147923']",X,"['MECLIZINE', 'METOCLOPRAMIDE']"
Waldenström macroglobulinemia,"['N0000146229', 'N0000146452', 'N0000146473', 'N0000147066', 'N0000147072', 'N0000147829', 'N0000148056', 'N0000148244', 'N0000148560', 'N0000148588', 'N0000148811']",4,"['PREDNISONE', 'CYCLOPHOSPHAMIDE', 'CARMUSTINE', 'MELPHALAN', 'CHLORAMBUCIL', 'DOXORUBICIN', 'VINCRISTINE', 'FLUDARABINE', 'RITUXIMAB', 'THALIDOMIDE', 'BORTEZOMIB']"
Wolff-Parkinson-White pattern,['N0000147996'],8,['PROPAFENONE']
Wolfram syndrome,['N0000146198'],4,['CHLORPROPAMIDE']
Xerostomia,['N0000148658'],13,['CEVIMELINE']
Yaws,['N0000146109'],1,['DOXYCYCLINE']
